1NDDPI, 1998
43
21
1 Type
3 PK Enroll
4 K Enroll
4 1-6 Enroll
4 7-8 Enroll
4 9-12 Enroll
5 PK-12 Enroll
6 Avg PK Member
7 Avg K Member
7 Avg 1-6 Member
7 Avg 7-8 Member
7 Avg 9-12 Member
9 Avg PK-12 Member
4 91 Census 0-5
5 91 Census 6-17
4 93 Census 0-5
5 93 Census 6-17
4 95 Census 0-5
5 95 Census 6-17
9 Tax Val
9 Tax Val / Pupil
6 G F Mill Levy
6 Tot Mill Levy
9 Tot Revenue
9 Fund Group 1 Exp
8 Avg Cost / Pupil
5 PK Teachers
5 K Teachers
6 1-6 Teachers
6 7-8 Teachers
6 9-12 Teachers
3 Bus Routes
5 Pupils Transport
8 Tot Mileage
4 81 Census 0-5
5 81 Census 6-17
4 87 Census 0-5
5 87 Census 6-17
3 Number Buses
10Transport Exp
4 97 Census 0-5
5 97 Census 6-17
232
06033Scranton 33     1000000800620032007900181000.000007.000068.780025.000078.40000179.18006100163003900165003300139002465197017119.42136.90145.8200113937200108794605360.3000.2800.50006.00002.57006.3600500111093247.00093002090084001900070085081.67003200144
07014Bowbells 14     1000001400460020003900119000.000010.000051.000023.550038.74000123.29004900142004700131004600118002686209024200.08153.75153.7500075306200077275305484.8100.0000.50005.55001.40004.8300200032033562.00062001980083001630060061030.44004100111
07027Powers Lake 27  1000000900460023006700145000.000005.110052.870026.310065.26000149.55005800194005200193003900168001962412012039.34185.00195.7300093290300091024205183.8700.0000.50003.50001.78005.5300500106098610.00089002450075002120080097594.44004400163
07036Burke Central 361000000700460024005800135000.000005.460054.240021.750067.62000149.07003400153005000186003300171003239040020897.03157.45164.6900107493800097830705500.4300.0000.50007.83002.20007.3700300116066432.00074001670079001660060064382.22002700155
08001Bismarck 1      1085075146481716358210782136.850890.814728.351730.553726.53011213.09425810795430911094401511172099945920007688.15230.02265.0705041391105075926004020.9905.7019.50227.10091.78166.0503001532340464.04570092454872102270631147898.44344113000
08002Regan 2         2000000300120005000000020000.000000.000014.860004.000000.00000018.86001700034001400027001100026000661743020679.47161.69161.6900019272500019338806504.1900.0000.25001.75000.50000.0000200020038589.30019000420012000320040029021.11001200032
08025Naughton 25     3000000100040002000000007000.000001.000009.000003.000000.00000013.00000700026000300025000400020000200277010013.85172.26197.2300011247000010886504023.0800.0000.10001.40000.10000.0000000000000000.00011000300013000250000000000.00000400020
08028Wing 28         1000000400320012002900077000.000002.000033.560009.450046.59000091.60002400118002500113002800092001750018021605.16154.28162.7500069766300067857706079.8100.0000.50003.00001.15003.7000400075068556.00057001460035001420070068165.67002700081
08029Baldwin 29      2000000000110002000000013000.000000.000011.000003.000000.00000014.00002200058001900057001100052000482691009653.82185.00232.6500015480500011706005129.3900.0000.00001.34000.66000.0000000000000000.00032000550023000590000000920.78001000050
08033Menoken 33      2000000000280011000000039000.000000.000033.000008.000000.00000041.00003200042003000043003500066000880546014202.35131.74160.1300027439900024437404360.6700.0000.00003.00001.00000.0000000000000000.00015000640020000520000013271.44002400062
08034McKenzie 34     3000000200060001000000009000.000000.000006.000002.000000.00000008.00001000026001000030001300023000554280020528.89102.84143.4300009695400009366207813.8400.0000.50000.50000.50000.0000000000000000.00014000430012000370000004044.89000800027
08035Sterling 35     2000001800200003000000041000.000007.000021.520011.000000.00000039.52001800055002800059002300051000844035015925.19165.99194.4300030010300029638903776.6500.0000.45002.00001.00000.0000300045046364.00024000630018000540030043268.89001500053
