1NDDPI, 1998
43
21
1 Type
3 PK Enroll
4 K Enroll
4 1-6 Enroll
4 7-8 Enroll
4 9-12 Enroll
5 PK-12 Enroll
6 Avg PK Member
7 Avg K Member
7 Avg 1-6 Member
7 Avg 7-8 Member
7 Avg 9-12 Member
9 Avg PK-12 Member
4 91 Census 0-5
5 91 Census 6-17
4 93 Census 0-5
5 93 Census 6-17
4 95 Census 0-5
5 95 Census 6-17
9 Tax Val
9 Tax Val / Pupil
6 G F Mill Levy
6 Tot Mill Levy
9 Tot Revenue
9 Fund Group 1 Exp
8 Avg Cost / Pupil
5 PK Teachers
5 K Teachers
6 1-6 Teachers
6 7-8 Teachers
6 9-12 Teachers
3 Bus Routes
5 Pupils Transport
8 Tot Mileage
4 81 Census 0-5
5 81 Census 6-17
4 87 Census 0-5
5 87 Census 6-17
3 Number Buses
10Transport Exp
4 97 Census 0-5
5 97 Census 6-17
232
25025Granville 25    1000001300760018005700164000.000010.680073.310018.000065.20000167.19005900157005700148005400164001833484010417.52169.65182.5200081102800086466304395.6100.0000.50005.77001.79003.8600400099069200.00078001710061001780050072428.78005800176
25029Upham 29        1000000100230017002800069000.000006.440028.000018.000027.36000079.80003500116002800114002800110001597026016989.64159.05163.3000059413700060635606596.1100.0000.33004.12002.50004.7500300059055384.00064001100055001170050054333.78003600094
25057Drake 57        1000001000680035005300166000.070011.160080.490030.000046.26000167.98006100136005400132004700152002505534015185.05137.87150.4800099957800106049505105.5200.0000.50006.00001.64004.9000500118098610.00053002180071001500090088140.00003700165
26004Zeeland 4       1000000300180010003000061000.000004.000024.020006.290026.21000060.52003400086002900093002100083002015040031000.62140.20143.1800046208400044468106938.3400.0000.50003.00000.85004.2900200048030076.10038001410051000890040027210.22002900065
26009Ashley 9        1000001200860035008900222000.000010.000090.020031.880104.00000235.90007700204007800209007200218003417644015822.43166.21169.6600130057600114709304125.9500.2000.50007.00001.71005.9900700130130788.00099002860094002300100101905.89007100216
26019Wishek 19       1000001801140046010700285000.000018.280119.920050.400106.59000295.19010000272008600281008900272003704093012861.43170.94179.7800146598500140168204195.7200.0000.50006.00002.15006.0000600113116705.80123003050143002620090124137.67009100288
27001McKenzie Co 1   1000005202850116022800681005.890041.660312.030104.390226.25000690.22036600839026100810022000766008702291011510.97160.92165.2800409343900428580105089.9500.0002.08019.00005.72013.1302900425429905.00501009640405009310330432122.44020200756
27002Alexander 2     1000000400470025005200128000.000004.000050.970024.000048.49000127.46004000101002700107002500107002457499021941.96168.06174.2900096603300095586606161.8600.0000.50005.50002.00006.5000400068083386.00075001290075001350060093377.33001700112
27014Yellowstone 14  2000000700580019000000084000.000005.320065.170017.680000.00000088.17004900125004900123004000112001331850012331.94146.00192.9600075204100069005204741.3500.0000.33004.89001.74000.0000300109038850.00091001840065001640040048994.56003100108
27018Earl 18         3000000000060002000000008000.000002.000004.000002.000000.00000008.00000900012000700012001000006000518615064826.88000.00000.0000006656900006776607150.3700.0000.00000.75000.25000.0000000000000000.00015000220006000120000001986.56001600008
27019Bowline Butte 193000000000030000000000003000.000000.000002.000000.000000.00000002.00000500010000300012000200015000529503031147.24075.54100.0900013638400009366021614.2600.0000.00001.00000.00000.0000000000000000.00003000090004000090000030247.11000200017
27032Horse Creek 32  3000000200040001000000007000.000000.670006.420000.000000.00000007.09000500032000600033000900022001001672040066.88023.96082.3600018372100017986006618.7100.0000.30000.50000.20000.0000300015033398.00011000350014000320030039881.78000700025
27036Mandaree 36     1000001901080044007500246000.000033.400115.960039.860051.09000240.31019500394008000204006400211000079648000292.82087.98087.9800361303400365677613501.5500.0001.00009.00002.00007.0000600222042212.00093001770132001820120238839.33005500272
28001Montefiore 1    1000001701170040011700291000.000019.610102.880051.930107.94000282.36005700230005900268004600283002218226008980.67164.08179.8500126871000128557004103.6800.0000.50007.00002.00006.5100400112062626.00135003040079002720070063290.44005700247
28004Washburn 4      1000002301790087017900468000.000017.110179.770097.800179.87000474.55014000493014100492012700492003631926007912.69137.67150.0600198953000194515803685.3100.0000.50011.00003.14008.1500600133080618.00305004750222005180090122852.44012200459
28008Underwood 8     1005001301320050014400344003.720031.280127.760059.660157.89000380.31006700317011600411010800357003803817010308.45182.71207.5400180820000179770104163.6200.5000.50007.75003.48009.4700600189056983.00199003680118003250090094258.33010300369
28050Max 50          1001000900850027005600178000.000012.480091.650024.890058.56000187.58007800179006800165005400164002452441015138.52151.59169.0400104164700099213704391.1300.0000.50005.86002.28004.6400600126093052.00085002750067002370090098313.67005000162
28051Garrison 51     1009002801750065016700444004.920026.860188.650065.220165.54000451.19014600489011800466012400446005289059012533.32168.86178.8100237889600222726004173.2700.6101.00010.00003.91008.8200800232152032.40233005700214005140110165719.56010500422
28062Butte 62        1000000100160007002200046000.000003.000018.460009.090025.07000055.62002500084002600086001700082001574269024988.40151.92155.1000048685600049443407540.3500.0000.50003.14001.20003.4200300044038295.20050000910034001010050036467.56001000063
28072Turtle Lake-Merc1000001100940038007100214003.000015.610103.980033.050082.72000238.36009900285009000269006700235003551584015645.74106.32106.3200123321400131243404466.7000.0000.50007.00002.00005.0000700160139092.00168003550131003460100141412.22005500227
28085White Shield 85 1002001500750027005000169000.000028.140071.030023.810039.51000162.49006200138005700119005900103000211154001552.60184.70184.7000090817000097460703997.3600.0001.00006.00002.00007.0000400148060200.00081001360065001400100045111.67005600136
29003Hazen 3         1009004803800143032100901010.160065.560400.100152.140388.05001016.01035000898028400905024700913004499522005148.19191.28204.8800428633100441760903614.7000.0001.50019.00006.38015.4400800261112682.00339006780430008710030179587.89023200874
29020Golden Valley 201000000000000022005400076000.000000.000000.000021.010054.38000075.39004700063003500094002500090001000666011635.65150.00183.9800049483800046931904643.0300.0000.00000.00001.95004.3400000000000000.00044000930044000720040043142.33001600086
29022Stanton 22      1001000600440022003300106000.000003.780046.260024.580035.62000110.24005600164005200151003300129000898204007878.98231.29241.2900066507900069175705451.6700.0000.25002.57001.44002.9900200041023764.00099002100062001870020028639.00004000114
29027Beulah 27       1000004904580200035101058000.000067.510497.940198.230345.46001109.14039800950035401105029001135007022271006355.00182.42218.3700504307500490629403667.5000.0001.50024.67008.84017.1401400586145132.00363007370502009200190217908.11027401105
30001Mandan 1        1014025915900556127703696059.210262.281608.030629.131238.48003797.13138903984144104078141404076030041495007436.01168.43211.6801479358801528180803699.3101.5007.00076.00025.00056.6703601405305908.12080039491694038260490518711.67135604040
30004Little Heart 4  2000000400220007000000033000.000004.000022.400004.400000.00000030.80002000042002000049002100047000745812016573.60071.06117.3100015164300015402503188.7100.0001.00001.00001.00000.0000100009012456.00026000550019000420010016626.56001700045
30007New Salem 7     1004002101650052016000402000.000023.600154.530055.780145.62000379.53012700350012400352010600349003195586009052.65165.85178.8400183582900190708904007.6900.0000.50008.79002.50008.7101200215177132.60154003940157003490200191364.89009900353
30008Sims 8          2000000700220008000000037000.000004.680026.580009.720000.00000040.98002500057002600062002600061001359416019701.68091.96177.7300039094600038851306295.3300.0000.50003.00001.20000.0000400057041174.00022000750039000460040041633.78002400069
30013Hebron 13       1000001000870041007400212000.000012.710088.320042.390079.26000222.68006800245006500215005900229003145060014976.48158.98162.1600125914900132335505117.6400.0000.50006.50002.00007.7500700060090244.00109003240106002710090098018.33005100210
30017Sweet Briar 17  3000000100080006000000015000.000001.000009.000004.000000.00000014.00000900019000700021000800021000256331013491.11046.81117.0300007685500006840902877.6200.0000.25000.50000.25000.0000000000000000.00009000180009000170000000000.00000800019
30039Flasher 39      1000001201240045010900290001.760019.000126.810045.730116.00000309.30009200243009400254008900279002844892010984.14185.00195.0000154563300145827203495.8100.0000.50006.30002.15005.8701300253225251.00116002950111002530140198328.22007600259
30048Glen Ullin 48   1000002001040034009800256000.000009.000112.380037.000099.86000258.24008800262008100270008500267003421381013209.97169.85169.8500149739100145421704661.2800.0000.33006.25002.00007.3000800144122233.10119003490127002750170116840.78007600259
31001New Town 1      1002005403900120019400760003.400062.850329.950186.700184.59000767.49028900644026600692026200752002326716002504.54159.02179.0900442947600394855304496.0900.5002.00021.14006.42014.5601500570151285.00254006550344006280210212817.67026700929
31002Stanley 2       1000001801700086017500449000.190020.500199.180085.670164.09000469.63015400519012400495012400476005173805011346.06146.89176.4200220642000226811104077.2300.0000.50009.20003.44009.5501000274237388.00246005500234005490140202214.00012500456
31003Parshall 3      1003002701500056009400330000.000027.190149.460050.980102.11000329.74014100361012900369013100361002973584008669.34199.75211.5200154782100159751804236.7400.7901.00007.00003.60005.9400400120092880.00177003150169003710110084428.00012400343
31137Plaza 137       1001000400230012002800068000.000000.000033.860010.000031.62000075.48003200102002900091002200081001677526021786.05207.00217.0000056975900053765006158.4300.0000.50003.00001.33002.8800200058040800.00048001210041001040030037378.44002500077
32001Dakota Prairie 11000001701740073019100455000.000031.650182.810077.620176.79000468.87022200605019600599017400562008839584017130.98188.44192.4800320384400303644004650.6000.0001.00010.00004.60011.0602300433282985.00313007900280006130260368785.44013800516
32066Lakota 66       1004001101430047008900294006.780026.780140.370048.090099.09000321.11008300246007000229009000254004166595017805.96185.00195.2400158221700154429203948.3101.0001.00007.00002.35006.7900800305142909.00137002960117002370100146416.33005200234
33018Center 18       1000001501290069012100334000.000017.740145.880067.510130.14000361.27012700443010600427008300403003225095008487.09165.76165.7600185188100199529804672.1900.0000.50007.50004.00009.4000600163119416.40215004170183004520090133266.89008300380
34001Pembina 1       1000001200730025004100151000.000006.000078.820021.520045.14000151.48007400151004600162005300154003142624018931.47172.73247.6000098935500090983405239.5800.0000.50006.43000.99003.2900200023032178.00073002060080001720040045016.44004900166
34006Cavalier 6      1003003302840125022500670004.070036.510309.920118.830220.40000689.73025300662021000656018700662006984558011679.86185.00192.1500345581000347391104359.7301.0001.00016.00006.28010.1600900364122668.00319006420301006180130155788.56016100598
34012Valley 12       1003000800750026006500177000.000016.450066.220032.460065.53000180.66005600196005800188005600194003229863018888.09185.00189.6500115149500118852205343.4300.0000.50006.96002.16004.7200600150079021.80108002160078001900050088256.89005900171
34019Drayton 19      1001001001120046008400253000.000012.930111.190050.490076.55000251.16011000260008300252005700246005158547022045.07163.39175.4900146905000159177705167.2900.0000.50008.00003.60008.0000500159074217.00103002930113002880080079718.22005900234
34027Walhalla 27     1001001801520064012100356000.000023.000161.070064.440116.03000364.54015200394014800407016000366004259448011831.80190.03194.6200188545700191315404267.3900.0001.00008.50004.25008.5000500146078120.00192004510225004150100097021.78012000360
34043St Thomas 43    1001000600590029003700132000.000009.130064.530029.610039.15000142.42004300143004000149004500139002677453021249.63187.45197.7200088493900091051705347.5700.0000.50006.00002.00004.5700200020025789.00076001790051001630040018346.22004600126
34055Neche 55        1000000700630019004800137000.000007.000061.540024.070044.06000136.67006400186005500180005100185002882306017156.58185.00199.0200096025800094456005995.8100.0000.50006.00001.41003.7200200057026296.00099001550084001610050036513.11003800168
35001Wolford 1       1000000300250008002000056000.000005.000035.470009.000024.31000073.78003300091003100091002900076001434552022070.03184.54194.5400048994000045166605213.2900.0000.40003.00001.27004.0300200058040482.00046001180052001000040039733.56002800065
35005Rugby 5         1002004302530137032400759000.000044.220257.130151.490332.05000784.89029300816031900835030500853008637242010482.09185.00198.6800368912900361076403850.8200.0001.00013.93007.00017.4201500474269216.00429010250357008430140308273.78026900824
36001Devils Lake 1   1009014108430342071602051015.430120.550855.700358.320712.59002062.59085102127082902175081202290014979573006387.88187.38212.2600938073800917700603902.7401.5003.00040.00017.00035.0001701074289712.50858018560870020570270355492.22085902345
36002Edmore 2        1001000700550021005600140000.000012.140047.330032.720057.40000149.59004000170003900164003700155004174097028589.71138.23148.2300105518300107380705902.8800.0000.50004.81001.54004.7000600134091586.20089005650069001820080106101.33004700146
36044Starkweather 44 1000000900600025003900133000.000010.430063.070020.390043.98000137.87004800155005200132004100131002511595021284.70153.45168.4500080994800085794404741.7000.0000.50004.16001.27004.0200300097057955.00084001850069001570050081452.89003400118
37002Sheldon 2       2000000500510000000000056000.000006.370052.920000.000000.00000059.29005000089005000096004300094001212273013775.83182.38227.3900045169500037932304131.7100.0000.50003.00000.00000.0000300101045153.00057001180044001060030030221.11003800088
37006Ft Ransom 6     2000000100300000000000031000.000005.000030.000000.000000.00000035.00002000042002600034001900047000701882012533.61167.48176.9200024993300024213203944.9300.0000.30002.70000.00000.0000500059041174.00022000430015000470040033653.78001400056
37010Salund 10       3000000100060000000000007000.000001.000008.960000.000000.00000009.96000300006000300004000900007000106645009695.00122.33160.0200004452500004117602947.5600.0000.14000.86000.00000.0000100001002768.00001000150005000080020000915.33000500011
37019Lisbon 19       1000003702920117025400700000.000045.210297.940110.710268.00000721.86020000649024100650019400639006480995010521.10181.63213.9800292897800292620603499.4400.0001.00017.00005.50013.5700800290139784.00327006940273006650130160007.33019800616
37022Enderlin 22     1005002001370074016100397000.000020.960142.130075.220165.05000403.36011600387010600373010600376004403384011742.36169.19220.3100188568900186378303918.0900.0000.50006.93003.78008.8400600189102762.00180003560147003820100104979.78010400375
38002Sherwood 2      1000001100470025006000143000.000006.000055.000030.000062.79000153.79004800122003800134003500134002407704018103.04144.91149.6900086145500087482904722.4000.0000.50005.12002.36004.0700000000000000.00046001170069001280070091314.67003700133
38009Mohall 9        1009001201020059012400306009.210010.390108.000061.030122.50000311.13009500313008500310007200290004221493016174.30121.63131.6300167280100170158404400.2900.4000.60006.00002.91008.7201100180122544.00121003100125003240120134844.22007300261
38026Glenburn 26     1000001601030064014300326000.000013.300102.360046.090129.95000291.70007900261006300264007200253003102293013911.63111.53131.5300143858000150558904331.0500.0000.50007.34002.82008.1600900219133722.00114002870118002970150134796.22006600223
39005Mantador 5      2000000200210000000000023000.000004.000023.000000.000000.00000027.00002200056002600056002100052000921381016752.38145.93204.2500024943900024835305832.2700.0000.50003.00000.00000.0000200046024220.00029000520031000440010017548.89001300055
39008Hankinson 8     1001002301430057012200346002.580032.060138.870056.830154.05000384.39009800327011200337010100325003589939010911.67185.00210.1900163803300163443303492.9500.0001.00008.14001.50008.9300600182103108.00165003580126003620110091857.33010100329
39018Fairmount 18    1000001200580024005000144000.000007.400065.430028.990048.33000150.15005400165005200161004800166001979400014240.29185.00219.2700083496000084593404625.2600.0000.60006.89002.00003.5700300070028264.00056001510066001420040045151.67004200139
39028Lidgerwood 28   1002001901180050009300282000.000017.020128.840043.780090.51000280.15009700252008500243008600248003117285013208.83185.00201.1600127301400127143203718.5000.0000.50008.43002.57006.5700400145066432.00134003380118002810100097983.67008300236
39037Wahpeton 37     1006010506800279058601656021.960101.570752.950295.010649.65001821.14072001695070301725066301817016178728009590.24185.00230.9000738320500737543003554.5800.5003.00037.14011.80023.3002100965159352.50944013590954016580270277377.44062901687
39042Wyndmere 42     1000001901640064010800355000.000019.170168.360067.100097.83000352.46014200298012600342011300338004757591014683.92185.00200.3000164317600172906503911.7400.0001.00009.56002.94004.7300800254118392.00147002680156002560090150599.56009600324
39044Richland 44     1000001901570045010300324000.000025.290149.550049.190103.23000327.26013300255012000263012100288004255250013815.75185.00203.0000155438000152401703802.8900.0001.00008.00002.00007.5300800497119336.00115002400116002700100099266.00010600308
40001Dunseith 1      1000003502330078016600512000.000037.380241.060079.000193.73000551.17029800800028700795035600930001295504001437.85162.10182.8900419930100370182904887.3200.0002.00013.00003.00010.0000800418107100.00465008290452009050090353996.78028600901
40003St John 3       1001002901370051010000318000.000026.340123.000046.130098.55000294.02009200405012800427017000439000605368001253.35178.40198.4000147441600139095103925.6800.4301.00006.00002.00006.1400400216089441.00171003330127003560070078349.00013500483
40004Mt Pleasant 4   1002003201780066012200400005.000028.720170.950062.090121.11000387.87014400368014100351012000374003584469010511.64165.64254.9600180920200175456504031.6700.5001.00011.50002.71007.6300600111065793.00190004120160003870060088011.22011600341
40007Belcourt 7      1000014808770271060101897011.380077.500871.500270.000567.00001797.38072401879074101872085902155000282002000133.08000.00000.0001389303901336967706494.4400.0008.00050.00010.00038.0003302016263279.00000000000703015260410716093.67086402119
40029Rolette 29      1000001100980030007900218000.000013.870115.920039.180083.88000252.85008700267007300266008600260002542207010418.88166.90176.7400124688300119616603920.2000.0000.50006.00002.19010.1000500149092139.80170004000109002840090104276.00006900244
41002Milnor 2        1000003001450057007400306000.000020.230143.550045.350080.17000289.30013300231012700249014100271002467727008509.40163.33188.6400117790000119192503886.7600.1301.06006.44002.00004.3500500225050170.00119002680129002310050050473.44010800290
41003N Sargent 3     1000001600940029006100200000.000023.220091.530023.270063.03000201.05005300194005900167008700170002411663014270.20189.63220.2800105996400103919504493.8300.1500.50006.00001.72005.7100200054025604.00128002740062002220050041740.56008000169
41006Sargent Central 1001002301630057011600360000.000034.520162.790057.030120.19000374.53013000361012900360012300345005579007017009.17169.56182.1100177678400172542503628.1300.0701.32010.00003.63008.1000900328169713.00175004770170003980160168316.67013800328
42016Goodrich 16     1002000200330011002500073002.000008.000031.020010.830023.44000075.29003300078002400082002900079001533932021012.77179.28189.5600051980400053556006457.9700.0000.50003.00001.73004.1200400040053136.00047001070052000930090053576.78002400073
42019McClusky 19     1000000700620027005400150000.000009.000069.460027.000053.16000158.62007100165004800163004600166002197375014456.41177.39187.0200098273900093787905258.2700.0000.50006.50002.32006.7800500108099994.00099002370084001840090090487.44003600152
43003Solen 3         1010001901090030005800226010.490021.840119.650034.480086.91000273.37015000269013900231016100268001062126002878.39147.36147.3600220824800210302306749.7601.0001.50010.50004.50008.5000900307149600.00149003130173002840080166171.00013400369
43004Ft Yates 4      1004002701040045006400244004.110036.700090.690046.150065.54000243.19036000717040200810026700638000457210000679.36165.83165.8300218716700177631106310.3200.3302.00007.00002.60004.3800000000000000.00258005710320006400100122522.11018300673
43008Selfridge 8     1000000500430006003700091000.000010.120043.220017.000025.80000096.14005300155004200142002900121001301744011031.73186.35195.4400095193800085819505771.7500.0000.60003.15001.90004.9500700080131418.40052001110054000910080091778.00004300118
44012Marmarth 12     2000000400140005000000023001.000000.000014.570006.890000.00000022.46001100045001100039000400037000930926023273.15031.77093.2300024901500020967304982.9100.0000.25002.08000.67000.0000100001004264.00026000430021000510000014384.56000900040
44014Sheets 14       3000000000040001000000005000.000000.000003.000000.000000.00000003.00000800014000700013000800009000344483031316.64089.16125.4500003812900004381711680.6300.0000.00000.67000.33000.0000000000000000.00003000140009000120000001120.78001000011
44032Central Elem 32 2000000100070005000000013000.000001.000013.000006.000000.00000020.00001600050001000046001200046001236033030900.82027.51072.5400021029000018821504827.7400.0000.15001.18000.67000.0000100008026600.00022000560028000440010038607.11001700040
45001Dickinson 1     1032021813260487101403077018.620233.171341.110495.301025.01003113.21162203870140203921132803817021828665005920.44185.00211.1401343133901363766303900.1400.0006.00062.00022.00044.6702000320258321.02122038161951038560280240673.00121703687
45003Taylor 3        2002001801350000000000155000.000013.000102.110000.000000.00000115.11002900105002600103002400092001259329015172.64160.40170.5500057632400063297104330.1200.0000.50008.00000.00000.0000600117081840.60060001040049001100050082951.78002500083
45004Richardton 4    1000000000000062012100183000.000000.000000.000063.420120.44000183.86010000211008300242006400260002207699009354.66165.49165.4900111508000114271204721.3200.0000.00000.00004.00009.7100700157104139.00111002830102002160080101990.22006100236
45009S Heart 9       1005001601210051010800301002.790018.000128.560052.310105.83000307.49010300359009300344009300343002128286006609.58158.17163.1700138801500134834803755.0600.0000.50006.00001.93007.2900900211136412.50168003760137003510130138428.67008600322
45013Belfield 13     1000002201350045014800350000.330014.280138.250051.800152.83000357.49011900270011100262011000249001275023004775.37158.03178.4600137921200134406303524.8400.0001.00008.07003.00009.8500300103048094.00195003420185003140030059809.89008100267
46010Hope 10         1000000900800036005500180000.000010.000087.910025.000062.50000185.41005700139005200149005100147003081145019878.35176.93188.8700112843300109776005102.5800.0000.50005.80001.68005.2900400113066392.00072001810064001350070068500.44004000155
46019Finley-Sharon 191000001400770028006700186000.000013.290078.390030.190057.52000179.39006400199005800200007000196003755141016915.05185.00200.0000122647300121611505892.8900.0000.60006.00002.29006.4300300117062626.00143002420087002070050060774.44007400222
47001Jamestown 1     1053016211150473104702850069.950171.111127.050496.641123.31002988.06122203116117203109108403104023194786007981.69181.69194.6901325621501285371903756.1402.0004.50058.58022.98050.0103301334304909.91613032221450031100250468346.78107402906
47003Medina 3        1000001400960031005800199000.000019.290091.330023.070059.85000193.54005200147005600158005600167002767041017080.50159.01168.9500112411700104300004722.4200.0001.00007.50002.13004.1101000155154983.00071001560057001650100117980.56004600162
47010Pingree-Buchanan1001000900640020004300137000.000011.240063.830028.000038.26000141.33005200141005900131005800134002646156020199.66165.66174.6900087160800085788604718.5700.0000.50005.50002.14004.2700600141095978.00040000900065001490050103012.33004600131
47014Montpelier 14   1000000800710022005100152000.000007.000079.500013.730065.47000165.70004400118003500118003000123002058981017158.17166.93175.9000093245000104642904402.9000.0000.50006.00001.26004.1300600164105096.00062001290042001270080124877.67003100120
47019Kensal 19       1000000700470015002900098000.000002.310044.530014.830030.58000092.25003700100003700086002800093001640149018852.29175.59185.5700057987900064421205497.5600.0000.30003.91001.12004.5000300051029665.60039001180038001020030036930.56001500087
47026Spiritwood 26   2000000300090000000000012000.000001.000013.700000.000000.00000014.70001200035001100033000900031002900504074371.90123.37150.2600038575500029522911147.4700.0000.50002.30000.00000.0000100030028683.40017000340016000310030057994.67000800039
48002Bisbee-Egeland 21000000400500022005400130000.000000.000000.000023.120052.69000075.81003800091002300087001800093003082832021558.27165.40171.0700059878600068484606255.5200.0000.50004.50001.45004.2000600112090548.20037001190048000810030078558.22003800143
48008Southern 8      1005001501480067011400349006.230025.910148.580063.560102.05000346.33011800328009900358010700342003660899012122.18162.53174.0900152311100148382003911.7900.5000.50009.00002.88005.6200300069057090.00158003580177003870090067726.67010200302
48012                 000000000000000000000000000.000008.130055.600000.000000.00000063.73002100062002200067001200064000000000000000.00000.00000.0000042358000041630105420.4100.0000.00000.00000.00000.0000000000000000.0003000069003500060003       .  000000000
48028N Central 28    1000000800310019004000098000.000003.930039.540019.280042.16000104.91004500117003300110003300121002122375019835.28138.32167.1800072792700075688305906.9400.0000.50005.00001.84004.4100300078046018.00067001460060001220050049274.67002600107
49003Central Valley 31000002601470053009900325000.000020.550156.200051.940095.18000323.87011800322012900337010900334004991436016527.93175.30185.1800167933900160550003899.0000.0001.00006.75002.84008.3200800319114958.50137003440110003070100138776.78010100302
49007Hatton 7        1002001301250042009200274002.570018.760126.460043.070096.06000286.92010200279008600257009700261003219714011498.98172.38211.8100134519100136944404031.3600.0000.50006.00002.00007.0000500154060634.00112002020096002290050072298.67007200280
49009Hillsboro 9     1000003402140082018000510000.000029.840226.100082.200166.56000504.70018300495017300497014200473006846246013637.94159.50174.5000254176100246023604045.8400.0001.00014.03004.35010.1500600238099755.10231004410225004720110152199.11014000502
49014May-Port CG 14  1000004602870128024600707000.000036.020241.890183.300245.47000706.68036600987022800661021100674008825890013192.66185.00217.0000338512300323476003935.6200.0001.00016.00007.34012.6400700295133763.60479010460470010130100181681.22022800669
50003Grafton 3       1000007305280182035501138000.000096.050525.260180.810386.59001188.71039901241042101306036901180008693476007184.69217.22294.7800511919600512080703479.0100.0002.00023.00011.43017.7700900386067421.60459010580549011870110156562.00034401210
50020Minto 20        1000002001360045008500286000.000019.820144.900044.890085.64000295.25009800262011200252008300262003377873011893.92170.73181.5800132728800129750703736.0100.0001.00010.50002.00007.5000700181114322.60111002590131002670060111862.33006600284
50039Lankin 39       2000000000710000000000071000.000000.000075.940000.000000.00000075.94001400052001100042001600046000846483018010.28180.22192.0300040558700041869004457.8200.0000.00006.05000.00000.0000300045029237.00024000780021000680030028673.44001600047
50051Nash 51         2001000500190004000000029000.000006.000015.240008.010000.00000029.25002600079002600063001900072000791428013645.31176.26205.5800021334300020689905279.5400.0000.50001.25001.25000.0000000000000000.00044000850045000650000000000.00001400058
50078Park River 78   1000002301930089017900484000.000026.180212.770084.660175.14000498.75017800472014200549014400515004939849009999.69180.61236.2500222103700210888003460.8400.0000.50011.29004.15007.2900800291104115.00229005200235004980130115077.78014600494
50079Fordville 79    1001001300000026005500095000.000009.000000.000032.570044.89000086.46005500089004400102004000104001704354015217.45168.10181.9100055822200053798505087.9600.0000.50000.00001.43004.2000400081046018.00050001310066001100050056006.44004000112
50106Edinburg 106    1001001000720028006900180000.000010.310079.380029.030059.41000178.13007500157006100163006200164001643966010085.68191.46204.4600087411000089204204208.7100.0000.50005.57002.07003.4100500128089484.00079002050093001810070072847.22005200163
50128Adams 128       1001000900440020004300117000.000008.000052.990014.210043.11000118.31003600120002400115002500108001704559014324.03176.00185.8400074581400070785105355.0900.0000.50004.69001.01003.0500500080069707.00076001410058001330060046169.00003400119
51001Minot 1         1089060534531049242407620112.920638.873534.611051.802571.76007909.96245406272252006335253206403059248494009324.60164.98173.7603816569803650176604255.1409.0016.00169.00045.80121.7002500696223060.04748082294784080310470460519.22169006354
51004Nedrose 4       2000002401780063000000265000.000027.580181.140054.760000.00000263.48009800354007100365006000341003316427008569.58110.06194.4900136368400135258203192.0800.0000.50008.76003.49000.0000700405058824.00118003010133003640060089495.33006100387
51007United 7        1005004803240098023200707006.000054.580336.120095.250235.24000727.19022700601025600652024500688005163701007221.96137.50206.8400265719200261514203204.4800.5001.50018.50005.00011.7001400601177152.00255005110292006350100150448.67024000715
51010Bell 10         2003001200910034000000140000.000018.000095.980042.470000.00000156.45006600249005700261006200244001662178006812.20118.11245.4200087791800082454103279.8800.0001.00006.50002.50000.0000700235051357.20084002420068002650030071880.89007300244
51016Sawyer 16       1000000800750021007800182000.000008.490078.070036.040072.35000194.95004800178005300177006500196002020348009903.67176.98186.5500102178500095635104220.1900.0000.50006.00001.72005.2800500133071208.00100002770068002180080073430.67006900204
51019Eureka 19       2000000000120000000000012000.000000.000019.590000.000000.00000019.59002200043002300057001300058000654040011474.39047.40139.1400013070200013477403811.7500.0000.00002.00000.00000.0000000000000000.00027000510033000470000000000.00001700057
51028Kenmare 28      1000002401560062014700389000.000023.920159.000074.420149.25000406.59014000377013600393012400379005881031015809.22185.00194.8600222070900219165004630.7600.0001.00009.50003.50009.5000700218156392.00164003690175003610140182119.33009700372
51041Surrey 41       1003003201790086018300483003.690030.870188.700072.060178.11000473.43012900315011700355012000393002237452005664.44173.85216.4000157901400168860902866.2000.5001.00009.00003.68008.4600500370067596.00199003830161003540070077996.33011200395
51054Berthold 54     1000001700930031006900210002.830019.000090.660038.220066.07000216.78005900177007200217006900198003495634018793.73133.31148.3100117519700126008004812.1800.0000.58006.00002.00005.7300400118093052.00103002630074001930070088978.67008600186
51070S Prairie 70    2001001700790041000000138000.000017.400091.930031.310000.00000140.64005900178004400180006500193002221639011631.62132.20195.2100113758300115221404519.8900.0000.50006.00002.00000.0000800182093808.80085002030083001770080096348.22006600191
51158N Shore 158     1000000900490016003700111000.000008.600046.330016.330040.13000111.39003800122004100125004200110002663898025863.09176.43192.2000082590800083466906425.6800.0000.50003.00002.00002.7800400092081310.00071001780050001560070069356.11004500103
51160Minot AFB 160   4000000000000000000000000000.000000.000000.000000.000000.00000000.00132201530134201517161001605000000000000000.00000.00000.0000829654200785518000000.0000.0000.00000.00000.00000.0000000000000000.00000000000000000000000083349.00073701549
52023Bowdon 23       2000000800300063000000101001.000005.140033.040058.190000.00000097.37003700087002900082002700077001547970019594.56179.95185.6600048630500066014404111.4800.0000.50002.95002.25000.0000300068059806.10050001070040000910050055919.11002500079
52035Pleasant Valley 2000000300190008000000030000.000001.000022.000010.000000.00000033.00001600032001600036001400042000917932021347.26180.69183.1400028236500026267805934.6200.0000.22001.66000.92000.0000300036038150.00018000470019000360030026666.33001100043
52038Harvey 38       1000003802600090021600604003.460037.560268.960099.680206.19000615.85021800586019600590021300584006338167010815.98175.69181.6700284025800283911604062.5700.0001.00015.50004.75010.7701000296172654.00304007520311006560170190124.00018900586
