2NDDPI, 1998
13
31
1 Type
3 PK Enroll
3 K Enroll
3 1-6 Enroll
3 7-8 Enroll
4 9-12 Enroll
5 PK Teacher
6 K Teacher
6 1-6 Teacher
6 7-8 Teacher
6 9-12 Teacher
3 Rooms
428
1928Drayton Public School      5001010112046008400.00000.50008.00003.60008.00021
1932Driscoll Public School     5000000013006001600.00000.00002.75001.25004.00010
1966Dunseith High School       5000000000078016600.00000.00000.00003.00010.00021
1968Dunseith Elem School       1000035233000000000.00002.00013.00000.00000.00018
2031Richland Elem School       1000019157000000000.00001.00008.00000.00000.00013
2037Bisbee-Egeland Elem School 1000004050000000000.00000.50004.50000.00000.00012
2099Early Childhood Center     1032000000000000000.00000.00000.00000.00000.00003
2100Early Childhood Center     1016385000000000001.00008.50000.00000.00000.00011
2106Willow Bank Colony School  1000000010007000000.00000.00001.00000.40000.00002
2107Edgeley Public School      5003010113049009300.50000.50006.00003.11006.50023
2109Edinburg Public School     5001010072028006900.00000.50005.57002.07003.41017
2111Edison Elem School         1013061351000000001.00001.50017.00000.00000.00026
2113Edmore Public School       5001007055021005600.00000.50004.81001.54004.70016
2270Eight Mile Public School   5000012072037007000.00000.50006.00002.00007.50025
2328Elgin Public School        5000019061000010200.00000.50005.00000.00007.51030
2330Ellendale High School      5000000000055012200.00000.00000.00003.71009.00018
2333Ellendale Elem School      1000034172000000000.00001.00010.00000.00000.00013
2362Emerado Elem School        1000024093029000000.00000.50006.00001.50000.00012
2387Enderlin Public School     5005020137074016100.00000.50006.93003.78008.84026
2480Erik Ramstad Middle School 2000000116373000400.00000.00005.00017.80001.00038
2568Eureka Elem School         1000000012000000000.00000.00002.00000.00000.00002
2739Fairmount Public School    5000012058024005000.00000.60006.89002.00003.57012
2741East Fairview Elem School  1000007058019000000.00000.33004.89001.74000.00012
2744South High School          3000000000000155800.00000.00000.00000.00076.20066
2752Eastwood Elem School       1000000539000000000.00000.00024.00000.00000.00027
2789Centennial Elem School     1000000829000000000.00000.00034.00000.00000.00038
2792Fessenden Public School    5002015089000010500.00000.50006.40000.00006.82026
2801Evaluation and Training Cen3000000000000000000.00000.00000.00000.00000.00005
2825Fingal Elem School         1000008040000000000.00000.50003.50000.00000.00008
2827Finley-Sharon Public School5000014077028006700.00000.60006.00002.29006.43021
2854Flasher Public School      5000012124045010900.00000.50006.30002.15005.87023
2891Fordville Public School    5001013000026005500.00000.50000.00001.43004.20012
2894Forest River Colony School 1000001009007000000.00000.10001.40000.50000.00002
2898Ft Ransom Elem School      1000001030000000000.00000.30002.70000.00000.00003
2910Four Winds Comm High School3000000000000016401.00000.00000.00000.00015.71013
2918Franklin Elem School       1000016096000000000.00000.50006.20000.00000.00013
2921Ft Yates Public School     5004027104045006400.33002.00007.00002.60004.38022
2925Ft Lincoln Elem School     1005066408000000001.00001.50020.00000.00000.00024
2943Fryburg Elem School        1000000007007000000.00000.00002.00001.00000.00003
3013Gackle-Streeter Public Scho5000007072046008401.20000.50006.50002.83006.00026
3045Garden Valley Elem School  1000000051017000000.00000.00003.00001.00000.00005
3052Garrison High School       5000000000065016700.00000.00000.00003.91008.82021
3160Heart River Elem School    1000036253000000000.00001.00014.00000.00000.00018
3165Glen Ullin Public School   5000020104034009800.00000.33006.25002.00007.30024
3169Glenburn Public School     5000016103064014300.00000.50007.34002.82008.16027
3172Midkota High School        5000000000040009600.00000.00000.00002.75006.75015
3191Golva Elem School          1000009032009000000.00000.50003.00001.06000.00006
3199Goodrich Public School     5002002033011002500.00000.50003.00001.73004.12013
3231Grafton High School        3000000000000026600.00000.00000.00000.00012.77015
3235Grafton Central School     5000000248182008900.00000.00011.00011.43005.00044
3237Westview Elem School       1000035138000000000.00001.00006.00000.00000.00010
3239Central High School        3000000000000126600.00000.00000.00000.00058.34070
3251Northern Cass Elem School-G1001009088000000000.00000.50006.00000.00000.00013
3253Granville Public School    5000013076018005700.00000.50005.77001.79003.86022
3259Grassy Butte Elem School   1000002019000000000.00000.25002.00000.00000.00005
3281Grenora Public School      5000005032011004900.00000.50004.00004.00007.00018
3282Grimsrud Elem School       1000042273000000000.00001.00012.60000.00000.00017
3308Oakes Elem School          1003034237000000000.00001.00012.14000.00000.00018
